# [4,2,1,0,0]          0         2
# cost  color   score
# index: white 0, blue 1, green 2, red 3, black 4
[0,0,1,3,1] 4 0
[1,0,0,1,3] 3 0
[1,3,1,0,0] 2 0
[0,1,3,1,0] 1 0
[3,1,0,0,1] 0 0
[2,2,0,1,0] 4 0
[2,0,1,0,2] 3 0
[0,1,0,2,2] 2 0
[1,0,2,2,0] 1 0
[0,2,2,0,1] 0 0
[0,1,2,1,1] 0 0
[1,0,1,2,1] 1 0
[1,1,0,1,2] 2 0
[2,1,1,0,1] 3 0
[1,2,1,1,0] 4 0
[0,0,0,0,4] 2 1
[0,0,0,4,0] 1 1
[0,0,4,0,0] 0 1
[0,4,0,0,0] 4 1
[4,0,0,0,0] 3 1
[0,0,2,0,2] 1 0
[0,2,0,2,0] 2 0
[0,2,0,0,2] 0 0
[2,0,0,2,0] 3 0
[2,0,2,0,0] 4 0
[1,1,1,0,1] 3 0
[1,1,1,1,0] 4 0
[1,1,0,1,1] 2 0
[1,0,1,1,1] 1 0
[0,1,1,1,1] 0 0
[0,0,0,0,3] 1 0
[0,0,0,3,0] 2 0
[0,0,3,0,0] 4 0
[0,3,0,0,0] 0 0
[3,0,0,0,0] 3 0
[1,0,0,0,2] 1 0
[0,0,0,2,1] 0 0
[0,0,2,1,0] 4 0
[0,2,1,0,0] 3 0
[2,1,0,0,0] 2 0
